Timestamp,Asset,BANK-OF-AMERICA,Cumulative Sum
10:00,KOZAL,-748740.0599999998,-748740.0599999998
10:01,KOZAL,-12181490.3,-12930230.360000001
10:02,KOZAL,-6319957.899999999,-19250188.26
10:03,KOZAL,-532146.48,-19782334.740000002
10:04,KOZAL,3230283.54,-16552051.200000003
10:05,KOZAL,125978.78000000003,-16426072.420000004
10:06,KOZAL,-3705936.95,-20132009.370000005
10:07,KOZAL,-7901486.78,-28033496.150000006
10:08,KOZAL,-2595179.6,-30628675.750000007
10:09,KOZAL,-1456327.62,-32085003.37000001
10:10,KOZAL,-13346910.08,-45431913.45000001
10:11,KOZAL,-373993.3999999999,-45805906.85000001
10:12,KOZAL,-731450.56,-46537357.41000001
10:13,KOZAL,757060.6099999999,-45780296.80000001
10:14,KOZAL,-801922.6,-46582219.40000001
10:15,KOZAL,-1228022.5,-47810241.90000001
10:16,KOZAL,-279362.3,-48089604.20000001
10:17,KOZAL,1667517.2,-46422087.00000001
10:18,KOZAL,-166068.8,-46588155.800000004
10:19,KOZAL,-1439.48,-46589595.28
10:20,KOZAL,2706.5,-46586888.78
10:21,KOZAL,-2853.9,-46589742.68
10:22,KOZAL,1685.1599999999999,-46588057.52
10:23,KOZAL,-283733.62,-46871791.14
10:24,KOZAL,-50782.40000000002,-46922573.54
10:25,KOZAL,11177.01000000001,-46911396.53
10:26,KOZAL,-31757.90000000001,-46943154.43
10:27,KOZAL,-43098.060000000005,-46986252.49
10:28,KOZAL,-26547.160000000003,-47012799.65
10:29,KOZAL,-27560.52,-47040360.17
10:30,KOZAL,-221604.30000000002,-47261964.47
10:31,KOZAL,380691.2,-46881273.269999996
10:32,KOZAL,6235952.44,-40645320.83
10:33,KOZAL,299975.28,-40345345.55
10:34,KOZAL,-5666326.42,-46011671.97
10:35,KOZAL,-463425.22000000003,-46475097.19
10:36,KOZAL,-1341108.0,-47816205.19
10:37,KOZAL,91233.73999999999,-47724971.449999996
10:38,KOZAL,0.0,-47724971.449999996
10:39,KOZAL,-194518.40000000002,-47919489.849999994
10:40,KOZAL,6996528.37,-40922961.48
10:41,KOZAL,-3300139.72,-44223101.199999996
10:42,KOZAL,-587311.1799999999,-44810412.379999995
10:43,KOZAL,1703235.02,-43107177.35999999
10:44,KOZAL,594163.34,-42513014.01999999
10:45,KOZAL,4411915.74,-38101098.27999999
10:46,KOZAL,-4292157.02,-42393255.29999998
10:47,KOZAL,-1076138.26,-43469393.55999998
10:48,KOZAL,-3880250.3200000003,-47349643.87999998
10:49,KOZAL,355664.4,-46993979.47999998
10:50,KOZAL,-752154.18,-47746133.65999998
10:51,KOZAL,-142845.71999999997,-47888979.37999998
10:52,KOZAL,333821.36,-47555158.01999998
10:53,KOZAL,-207713.96,-47762871.97999998
10:54,KOZAL,54694.68000000002,-47708177.29999998
10:55,KOZAL,-46116.16,-47754293.45999998
10:56,KOZAL,0.0,-47754293.45999998
10:57,KOZAL,-58656.04,-47812949.49999998
10:58,KOZAL,-4304975.67,-52117925.16999998
10:59,KOZAL,-1303759.46,-53421684.62999998
