timestamp,AKBNK.E_price_change,ISCTR.E_entry_price,..seconds_later,ISCTR.E_exit_price,return
2022-01-18_14:25:40.000000,1.0582010582010692,8040,0.732298,8070,0.3731343283582156
2022-01-18_14:25:56.000000,1.0695187165775444,8060,0.284027,8030,-0.3722084367245637
2022-01-18_14:25:57.000000,0.9308510638297962,7990,0.370998,8020,0.3754693366708306
2022-01-18_14:25:58.000000,0.7968127490039834,8050,0.429392,8020,-0.3726708074534124
2022-01-18_14:25:59.000000,0.7978723404255428,8060,0.682009,8030,-0.3722084367245637
2022-01-18_14:26:01.000000,0.5305039787798504,8040,0.687355,8010,-0.3731343283582045
2022-01-18_14:26:04.000000,0.5291005291005346,8030,0.21681,8060,0.37359900373599153
2022-01-18_14:26:32.000000,0.5319148936170137,7970,5.0,7950,-0.25094102885822034
2022-01-18_14:27:53.000000,0.5312084993359889,7990,5.0,7970,-0.25031289111389077
2022-01-19_07:00:00.000000,0.8032128514056325,7810,0.134147,7900,1.1523687580025532
2022-01-19_07:00:01.000000,0.6666666666666599,7940,0.351743,7910,-0.37783375314861534
2022-01-19_07:00:02.000000,0.5326231691078487,7920,0.740119,7950,0.37878787878788955
2022-01-19_07:00:03.000000,0.8010680907877266,7940,0.522967,7910,-0.37783375314861534
2022-01-19_07:00:05.000000,0.5312084993359889,7950,0.119931,7920,-0.37735849056603765
2022-01-19_07:00:07.000000,0.665778961384822,7980,0.242553,7950,-0.3759398496240629
2022-01-20_11:55:56.000000,0.5161290322580614,8160,0.731994,8190,0.3676470588235281
2022-01-20_11:55:58.000000,0.5174644243208348,8200,0.532254,8170,-0.3658536585365857
2022-01-20_11:56:13.000000,0.5194805194805197,8140,0.907841,8170,0.3685503685503688
2022-01-20_12:00:17.000000,0.5208333333333259,8140,0.981623,8110,-0.3685503685503688
2022-01-20_12:00:20.000000,0.5215123859191761,8070,0.51254,8100,0.3717472118959009
2022-01-20_12:00:21.000000,0.5194805194805197,8130,0.489438,8090,-0.49200492004920493
2022-01-20_14:30:35.000000,0.5208333333333259,8060,0.911575,8090,0.3722084367245637
2022-01-21_07:00:03.000000,0.5154639175257714,8090,0.413353,8120,0.3708281829418958
2022-01-26_07:00:02.000000,0.5194805194805197,8120,5.0,8120,0.0
2022-02-03_14:04:11.000000,0.5095541401273884,8360,5.0,8340,-0.23923444976076125
2022-02-03_14:05:14.000000,0.6402048655569814,8320,5.0,8330,0.12019230769231282
2022-02-07_08:21:35.000000,0.7936507936507908,7880,5.0,7860,-0.25380710659898
2022-02-08_07:00:01.000000,0.6410256410256387,8310,5.0,8300,-0.12033694344163459
2022-02-24_07:30:00.000000,1.5714285714285792,7800,0.169115,7770,-0.38461538461538325
2022-02-24_07:32:55.000000,0.5555555555555536,7890,5.0,7880,-0.12674271229404788
2022-02-24_07:33:00.000000,1.2587412587412583,7880,0.607049,7850,-0.3807106598984755
2022-02-24_07:33:10.000000,0.696378830083555,7850,5.0,7870,0.2547770700636942
2022-02-24_07:33:11.000000,1.118881118881121,7840,0.940413,7870,0.3826530612244916
2022-02-24_07:33:21.000000,0.5502063273727709,7910,0.902735,7940,0.37926675094817064
2022-02-24_07:33:32.000000,0.8219178082191858,7930,5.0,7910,-0.2522068095838548
2022-02-24_07:33:40.000000,0.6868131868131844,7890,0.866761,7920,0.3802281368821214
2022-02-24_07:35:08.000000,0.6915629322268302,7840,5.0,7830,-0.12755102040816757
2022-02-25_07:00:00.000000,0.9859154929577452,7610,0.135295,7690,1.0512483574244502
2022-02-25_07:00:02.000000,0.5641748942172065,7690,0.169343,7650,-0.5201560468140465
2022-02-25_07:00:18.000000,0.7092198581560183,7710,0.041545,7670,-0.5188067444876765
2022-02-28_07:00:00.000000,0.5747126436781658,7930,0.171985,8350,5.296343001261028
2022-04-11_07:00:00.000000,0.5780346820809301,10110,0.171877,10190,0.7912957467853587
2022-04-11_07:00:02.000000,0.5767012687427853,10250,5.0,10240,-0.09756097560975618
2022-04-11_07:00:03.000000,0.5767012687427853,10230,5.0,10240,0.09775171065493637
2022-04-11_07:01:16.000000,0.7972665148063829,10360,5.0,10360,0.0
2022-04-11_11:37:55.000000,0.6825938566553003,10530,5.0,10520,-0.09496676163343043
2022-04-12_07:00:00.000000,0.7743362831858391,10680,0.161891,10600,-0.7490636704119868
2022-04-12_07:00:01.000000,0.5543237250554389,10600,0.48251,10560,-0.37735849056603765
2022-04-19_12:07:13.000000,0.5279831045406524,10820,0.841653,10860,0.3696857670979714
2022-04-25_07:00:00.000000,0.5411255411255311,10490,0.147336,10650,1.5252621544327827
2022-04-25_07:00:01.000000,0.5411255411255311,10580,0.668549,10620,0.3780718336483968
2022-04-25_07:00:02.000000,0.5411255411255311,10580,0.668549,10620,0.3780718336483968
2022-04-25_07:24:47.000000,0.5440696409140466,10600,5.0,10600,0.0
2022-05-12_07:00:02.000000,0.7159904534606243,10250,0.734707,10290,0.39024390243902474
2022-06-08_14:51:31.000000,0.5988023952095745,10520,5.0,10500,-0.1901140684410607
2022-06-09_07:00:00.000000,0.6053268765133124,10420,0.19432,10460,0.38387715930903177
2022-06-10_07:00:09.000000,0.6045949214026569,10420,5.0,10440,0.19193857965451588
2022-06-27_07:00:00.000000,0.9411764705882453,4720,0.134965,4550,-3.601694915254239
2022-06-27_07:00:01.000000,0.8254716981132004,4560,0.749215,4540,-0.43859649122807154
2022-06-27_07:00:02.000000,0.8254716981132004,4560,0.749215,4540,-0.43859649122807154
2022-06-27_07:00:03.000000,0.7067137809187329,4560,0.09606,4580,0.43859649122806044
2022-06-27_07:00:08.000000,0.5910165484633634,4560,0.958404,4580,0.43859649122806044
2022-06-27_07:00:09.000000,0.5910165484633634,4580,5.0,4570,-0.21834061135370675
2022-06-27_07:00:10.000000,0.5910165484633634,4580,5.0,4570,-0.21834061135370675
2022-06-27_07:00:11.000000,0.5910165484633634,4590,0.031257,4570,-0.43572984749454813
2022-06-27_07:00:12.000000,0.5910165484633634,4580,5.0,4570,-0.21834061135370675
2022-06-27_07:00:13.000000,0.5910165484633634,4570,5.0,4570,0.0
2022-06-27_07:02:13.000000,0.7067137809187329,4590,5.0,4590,0.0
2022-06-30_07:00:00.000000,0.5050505050504972,4390,0.120423,4330,-1.3667425968109326
2022-06-30_07:00:06.000000,0.6273525721455453,4320,5.0,4320,0.0
2022-08-01_07:00:02.000000,0.578703703703698,5280,5.0,5280,0.0
2022-08-10_07:58:27.000000,0.5181347150259086,6010,5.0,6010,0.0
2022-08-11_07:00:04.000000,0.5060728744939347,6110,5.0,6110,0.0
2022-08-11_07:02:03.000000,0.50761421319796,6130,5.0,6130,0.0
2022-08-18_11:00:23.000000,0.6250000000000089,6920,0.901386,6890,-0.43352601156069204
2022-08-18_11:00:31.000000,0.9838998211091132,6870,5.0,6890,0.29112081513829047
2022-08-18_11:00:33.000000,0.7174887892376747,6880,5.0,6870,-0.14534883720930258
2022-08-18_11:00:34.000000,0.7174887892376747,6870,5.0,6870,0.0
2022-08-18_11:03:53.000000,0.8166969147005432,6740,5.0,6750,0.14836795252226587
2022-08-22_07:00:00.000000,1.740812379110257,7010,0.145127,6970,-0.5706134094151216
2022-08-22_07:00:01.000000,1.644100580270802,6950,5.0,6970,0.2877697841726645
2022-08-22_07:00:02.000000,1.1616650532429773,6940,0.072923,6970,0.4322766570605152
2022-08-22_07:00:03.000000,0.871248789932233,6960,5.0,6970,0.1436781609195359
2022-08-22_07:00:05.000000,0.968054211035807,6960,5.0,6960,0.0
2022-08-22_07:00:06.000000,1.0648596321394033,6970,0.252162,6940,-0.43041606886656814
2022-08-22_07:00:07.000000,1.4520813165537216,6950,5.0,6960,0.14388489208632116
2022-08-22_07:00:08.000000,1.2548262548262468,6970,0.549948,6940,-0.43041606886656814
2022-08-22_07:00:09.000000,0.9633911368015502,6950,5.0,6960,0.14388489208632116
2022-08-22_07:00:10.000000,0.9633911368015502,6960,0.34717,6930,-0.4310344827586188
2022-08-22_07:00:11.000000,0.7707129094412402,6930,0.12548,6960,0.43290043290042934
2022-08-22_07:00:12.000000,0.5785920925747368,6960,5.0,6940,-0.2873563218390829
2022-08-22_07:00:14.000000,0.5780346820809301,6960,5.0,6940,-0.2873563218390829
2022-08-24_07:00:00.000000,3.584229390680993,8200,0.135342,8460,3.170731707317076
2022-08-24_07:27:39.000000,0.616197183098599,8340,0.549009,8310,-0.3597122302158251
2022-08-24_07:29:30.000000,0.9803921568627416,8260,0.747103,8290,0.363196125907983
2022-08-25_08:48:31.000000,0.6086956521739184,7870,5.0,7860,-0.12706480304955914
2022-08-25_09:14:59.000000,0.6024096385542244,7890,5.0,7900,0.12674271229404788
2022-08-26_14:34:01.000000,0.6451612903225712,7830,5.0,7830,0.0
2022-08-26_14:35:40.000000,0.9105960264900625,7640,0.988841,7610,-0.39267015706806463
2022-08-26_14:36:17.000000,0.5789909015715411,7530,5.0,7530,0.0
2022-08-26_14:36:30.000000,0.9090909090909038,7530,5.0,7530,0.0
2022-08-26_14:36:39.000000,0.6617038875103454,7530,5.0,7530,0.0
2022-08-26_14:38:33.000000,0.9143807148794592,7530,5.0,7530,0.0
2022-08-26_14:41:37.000000,1.085141903171949,7530,5.0,7530,0.0
2022-08-26_14:41:43.000000,0.9181969949916491,7530,5.0,7530,0.0
2022-08-26_14:41:48.000000,0.6677796327211993,7530,5.0,7530,0.0
2022-08-26_14:41:56.000000,0.8347245409014992,7530,5.0,7530,0.0
2022-08-26_14:42:09.000000,0.5016722408026864,7530,5.0,7530,0.0
2022-08-26_14:42:14.000000,0.5004170141784892,7530,5.0,7530,0.0
2022-08-26_14:44:17.000000,0.5046257359125228,7530,5.0,7530,0.0
2022-08-26_14:44:34.000000,0.502092050209213,7530,5.0,7530,0.0
2022-08-26_14:58:11.000000,0.6628003314001596,7810,5.0,7800,-0.1280409731113985
2022-08-31_14:58:04.000000,0.5097706032285432,7970,5.0,7980,0.12547051442910462
2022-08-31_14:58:05.000000,0.5097706032285432,7970,5.0,7970,0.0
2022-09-05_07:14:19.000000,0.6870229007633677,8950,5.0,8950,0.0
2022-09-05_12:24:41.000000,0.5747126436781658,9470,5.0,9460,-0.10559662090813271
2022-09-06_07:00:00.000000,0.689179875947632,9690,0.144351,9900,2.1671826625387025
2022-09-06_07:00:01.000000,0.550584996558845,9910,0.041826,9940,0.3027245206861817
2022-09-06_07:00:02.000000,0.9635237439779676,9940,0.66343,9910,-0.3018108651911433
2022-09-06_07:00:03.000000,1.10116999311769,9910,0.502519,9950,0.4036326942482349
2022-09-06_07:00:04.000000,0.8264462809917328,9910,0.165394,9950,0.4036326942482349
2022-09-06_07:00:07.000000,0.5490734385724005,9970,0.257196,9940,-0.30090270812437314
2022-09-06_07:00:08.000000,0.8953168044077087,9950,0.359185,9980,0.3015075376884502
2022-09-06_07:00:09.000000,0.8270158511371362,9970,0.037151,9930,-0.4012036108325012
2022-09-06_07:00:13.000000,0.5513439007581056,9980,0.202026,9950,-0.30060120240480437
2022-09-06_07:00:51.000000,0.6206896551724128,10000,0.490892,9970,-0.30000000000000027
2022-09-06_08:17:40.000000,0.5540166204986097,9650,0.951824,9620,-0.31088082901554737
2022-09-06_08:29:48.000000,0.6896551724137945,9920,5.0,9920,0.0
2022-09-06_08:45:51.000000,1.3157894736842035,9890,0.185569,9860,-0.30333670374115274
2022-09-06_08:46:04.000000,1.524601524601521,9910,0.01892,9880,-0.3027245206861706
2022-09-07_07:00:05.000000,0.5134788189987249,10570,0.288534,10500,-0.6622516556291425
2022-09-07_07:00:06.000000,0.7717041800643143,10600,0.254752,10500,-0.9433962264150941
2022-09-07_07:00:09.000000,0.5161290322580614,10550,0.184139,10510,-0.37914691943128354
2022-09-07_07:00:15.000000,0.5167958656330685,10520,0.709547,10440,-0.760456273764254
2022-09-07_07:00:16.000000,0.7787151200519205,10540,0.494511,10500,-0.3795066413662229
2022-09-07_07:00:17.000000,0.7142857142857117,10550,0.350217,10510,-0.37914691943128354
2022-09-07_07:00:21.000000,0.7802340702210753,10440,0.312331,10570,1.245210727969348
2022-09-07_07:00:22.000000,1.2393998695368502,10450,0.460948,10500,0.4784688995215225
2022-09-07_07:00:23.000000,1.6993464052287521,10500,0.456313,10460,-0.3809523809523818
2022-09-07_07:00:24.000000,0.5201560468140354,10500,0.823987,10460,-0.3809523809523818
2022-09-07_07:00:25.000000,0.7802340702210753,10470,5.0,10440,-0.2865329512893977
2022-09-07_07:00:26.000000,1.04302477183833,10500,0.823987,10460,-0.3809523809523818
2022-09-07_07:00:29.000000,0.5221932114882533,10470,0.320193,10430,-0.382043935052534
2022-09-07_07:00:35.000000,0.6548788474132206,10450,0.365073,10370,-0.7655502392344471
2022-09-07_07:00:47.000000,0.594844679444817,10070,5.0,10070,0.0
2022-09-07_07:00:48.000000,0.5287508261731633,10070,5.0,10070,0.0
2022-09-07_07:00:51.000000,0.5972130059721303,10070,5.0,10070,0.0
2022-09-07_07:01:33.000000,0.5256241787122251,10070,5.0,10070,0.0
