timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-01-03_07:19:25.000000,0.5830903790087438,7230,0.783459,7250,0.2766251728907321
2022-01-03_07:27:35.000000,0.588235294117645,7210,5.0,7210,0.0
2022-01-03_07:27:36.000000,0.588235294117645,7210,5.0,7210,0.0
2022-01-03_07:27:37.000000,0.588235294117645,7210,5.0,7210,0.0
2022-01-03_07:27:38.000000,0.588235294117645,7210,5.0,7210,0.0
2022-01-04_09:34:19.000000,0.5730659025787954,7380,5.0,7380,0.0
2022-01-04_12:55:30.000000,0.5865102639296182,7220,5.0,7220,0.0
2022-01-05_14:53:17.000000,0.5747126436781658,7330,5.0,7340,0.13642564802183177
2022-01-05_14:56:57.000000,0.5714285714285783,7340,5.0,7340,0.0
2022-01-06_09:08:11.000000,0.56657223796035,7390,5.0,7380,-0.13531799729363803
2022-01-06_13:11:41.000000,0.5714285714285783,7340,5.0,7340,0.0
2022-01-06_14:32:12.000000,0.5747126436781658,7320,5.0,7320,0.0
2022-01-07_07:00:00.000000,0.5698005698005604,7330,0.134453,7350,0.27285129604366354
2022-01-07_07:55:15.000000,0.5681818181818121,7380,5.0,7380,0.0
2022-01-07_07:56:37.000000,0.56657223796035,7400,5.0,7400,0.0
2022-01-07_11:25:13.000000,0.5555555555555536,7500,5.0,7500,0.0
2022-01-07_11:34:33.000000,0.5586592178770999,7470,0.573278,7450,-0.2677376171352108
2022-01-07_11:37:13.000000,0.5586592178770999,7470,5.0,7470,0.0
2022-01-07_11:37:19.000000,0.5586592178770999,7470,5.0,7480,0.1338688085676054
2022-01-07_11:39:02.000000,0.5586592178770999,7480,5.0,7480,0.0
2022-01-07_12:12:22.000000,0.557103064066844,7480,5.0,7470,-0.13368983957219305
2022-01-07_12:31:34.000000,0.561797752808979,7450,5.0,7450,0.0
2022-01-10_07:00:00.000000,0.5319148936170137,7620,0.08803,7720,1.3123359580052396
2022-01-10_07:00:04.000000,0.5305039787798504,7720,0.538861,7740,0.2590673575129543
2022-01-10_07:00:05.000000,0.5305039787798504,7740,5.0,7740,0.0
2022-01-10_07:00:08.000000,0.5305039787798504,7730,0.0064,7750,0.2587322121604174
2022-01-10_07:00:17.000000,0.5305039787798504,7750,0.959602,7730,-0.2580645161290307
2022-01-10_10:39:23.000000,0.5333333333333412,7730,5.0,7740,0.1293661060802087
2022-01-10_14:25:04.000000,0.5390835579514919,7700,5.0,7700,0.0
2022-01-10_14:44:52.000000,0.5390835579514919,7710,5.0,7700,-0.12970168612191912
2022-01-11_07:10:55.000000,0.5434782608695565,7580,5.0,7580,0.0
2022-01-11_13:01:01.000000,0.5305039787798504,7700,5.0,7700,0.0
2022-01-12_08:24:38.000000,0.5235602094240788,7670,0.756209,7650,-0.2607561929595881
2022-01-12_08:30:58.000000,0.5249343832020914,7650,5.0,7650,0.0
2022-01-13_07:05:43.000000,0.5141388174807249,7650,5.0,7650,0.0
2022-01-13_07:09:12.000000,0.5181347150259086,7640,0.770078,7620,-0.2617801047120394
2022-01-13_08:52:50.000000,0.5208333333333259,7620,5.0,7620,0.0
2022-01-14_14:50:40.000000,0.5194805194805197,7520,5.0,7520,0.0
2022-01-17_07:00:05.000000,0.5012531328320913,7650,5.0,7650,0.0
2022-01-17_07:00:26.000000,0.5037783375314797,7630,5.0,7630,0.0
2022-01-18_07:17:19.000000,0.4975124378109541,7680,5.0,7680,0.0
