timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-01-03_07:19:25.000000,0.5830903790087438,7230,1,7230,0.0
2022-01-03_07:27:35.000000,0.588235294117645,7210,1,7210,0.0
2022-01-03_07:27:36.000000,0.588235294117645,7210,1,7210,0.0
2022-01-03_07:27:37.000000,0.588235294117645,7210,1,7210,0.0
2022-01-03_07:27:38.000000,0.588235294117645,7210,1,7210,0.0
2022-01-04_09:34:19.000000,0.5730659025787954,7380,1,7380,0.0
2022-01-04_12:55:30.000000,0.5865102639296182,7220,1,7220,0.0
2022-01-05_14:53:17.000000,0.5747126436781658,7330,1,7330,0.0
2022-01-05_14:56:57.000000,0.5714285714285783,7340,1,7340,0.0
2022-01-06_09:08:11.000000,0.56657223796035,7390,1,7390,0.0
2022-01-06_13:11:41.000000,0.5714285714285783,7340,1,7340,0.0
2022-01-06_14:32:12.000000,0.5747126436781658,7320,1,7320,0.0
2022-01-07_07:00:00.000000,0.5698005698005604,7330,0.314193,7360,0.4092769440654953
2022-01-07_07:55:15.000000,0.5681818181818121,7380,1,7380,0.0
2022-01-07_07:56:37.000000,0.56657223796035,7400,1,7400,0.0
2022-01-07_11:25:13.000000,0.5555555555555536,7500,1,7500,0.0
2022-01-07_11:34:33.000000,0.5586592178770999,7470,1,7460,-0.1338688085676054
2022-01-07_11:37:13.000000,0.5586592178770999,7470,1,7470,0.0
2022-01-07_11:37:19.000000,0.5586592178770999,7470,1,7470,0.0
2022-01-07_11:39:02.000000,0.5586592178770999,7480,1,7480,0.0
2022-01-07_12:12:22.000000,0.557103064066844,7480,1,7470,-0.13368983957219305
2022-01-07_12:31:34.000000,0.561797752808979,7450,1,7440,-0.13422818791946067
2022-01-10_07:00:00.000000,0.5319148936170137,7620,0.08803,7720,1.3123359580052396
2022-01-10_07:00:04.000000,0.5305039787798504,7720,1,7740,0.2590673575129543
2022-01-10_07:00:05.000000,0.5305039787798504,7740,1,7730,-0.12919896640827266
2022-01-10_07:00:08.000000,0.5305039787798504,7730,1,7750,0.2587322121604174
2022-01-10_07:00:17.000000,0.5305039787798504,7750,1,7740,-0.1290322580645209
2022-01-10_10:39:23.000000,0.5333333333333412,7730,1,7730,0.0
2022-01-10_14:25:04.000000,0.5390835579514919,7700,1,7700,0.0
2022-01-10_14:44:52.000000,0.5390835579514919,7710,1,7710,0.0
2022-01-11_07:10:55.000000,0.5434782608695565,7580,1,7580,0.0
2022-01-11_13:01:01.000000,0.5305039787798504,7700,1,7700,0.0
2022-01-12_08:24:38.000000,0.5235602094240788,7670,1,7670,0.0
2022-01-12_08:30:58.000000,0.5249343832020914,7650,1,7640,-0.13071895424836555
2022-01-13_07:05:43.000000,0.5141388174807249,7650,1,7650,0.0
2022-01-13_07:09:12.000000,0.5181347150259086,7640,1,7640,0.0
2022-01-13_08:52:50.000000,0.5208333333333259,7620,1,7620,0.0
2022-01-14_14:50:40.000000,0.5194805194805197,7520,1,7520,0.0
2022-01-17_07:00:05.000000,0.5012531328320913,7650,1,7660,0.13071895424836555
2022-01-17_07:00:26.000000,0.5037783375314797,7630,1,7640,0.1310615989515096
2022-01-18_14:15:27.000000,0.5025125628140614,7670,1,7690,0.26075619295957697
2022-01-18_14:15:36.000000,0.5012531328320913,7700,1,7720,0.2597402597402487
2022-01-18_14:22:00.000000,0.7633587786259444,7620,1,7630,0.1312335958005173
2022-01-18_14:22:05.000000,0.5063291139240533,7630,1,7650,0.2621231979030192
2022-01-18_14:22:09.000000,0.5063291139240533,7640,1,7640,0.0
2022-01-18_14:23:20.000000,0.5089058524172962,7610,1,7610,0.0
2022-01-18_14:25:37.000000,0.7772020725388629,7590,0.55972,7560,-0.39525691699604515
2022-01-18_14:25:40.000000,3.100775193798455,7570,0.812016,7600,0.39630118890356947
2022-01-18_14:25:41.000000,0.7575757575757569,7630,1,7640,0.1310615989515096
2022-01-18_14:25:42.000000,0.75949367088608,7640,1,7620,-0.2617801047120394
2022-01-18_14:25:43.000000,0.5063291139240533,7620,1,7610,-0.1312335958005284
2022-01-18_14:25:45.000000,0.5089058524172962,7600,1,7590,-0.1315789473684159
2022-01-18_14:25:49.000000,0.5115089514066584,7590,1,7570,-0.26350461133070047
2022-01-18_14:25:50.000000,0.5115089514066584,7570,1,7560,-0.13210039630119352
2022-01-18_14:25:52.000000,0.5115089514066584,7570,1,7570,0.0
2022-01-18_14:25:56.000000,2.8871391076115582,7570,0.279514,7540,-0.39630118890356947
2022-01-19_07:00:00.000000,1.0389610389610393,7410,0.072838,7470,0.809716599190291
2022-01-19_07:00:01.000000,0.5167958656330685,7500,0.210583,7530,0.40000000000000036
2022-01-19_07:00:02.000000,0.5141388174807249,7510,0.329176,7540,0.3994673768308976
2022-01-19_07:00:03.000000,0.773195876288657,7550,0.391312,7510,-0.5298013245033095
2022-01-19_07:00:04.000000,0.773195876288657,7540,1,7530,-0.13262599469495706
2022-01-19_07:00:05.000000,0.773195876288657,7530,0.518111,7560,0.3984063745019917
2022-01-19_07:00:06.000000,0.5154639175257714,7530,1,7530,0.0
2022-01-19_07:00:07.000000,0.5154639175257714,7530,0.297144,7560,0.3984063745019917
2022-01-19_07:00:08.000000,0.5154639175257714,7520,1,7540,0.26595744680850686
2022-01-19_07:00:10.000000,0.5154639175257714,7520,0.277129,7550,0.3989361702127603
2022-01-19_07:00:43.000000,0.512820512820511,7540,1,7540,0.0
2022-01-19_07:00:57.000000,0.512820512820511,7550,1,7530,-0.26490066225165476
2022-01-19_07:05:01.000000,0.5154639175257714,7530,1,7550,0.26560424966799445
2022-01-19_08:00:22.000000,0.5102040816326481,7550,1,7550,0.0
2022-01-19_09:10:43.000000,0.5050505050504972,7570,1,7570,0.0
