Asset,Compound Return
TOASO,7.008463531854048
HEKTS,3.521126807859254
GARAN,3.0724219016084575
TCELL,2.506806947738127
THYAO,1.4136973523502183
AKBNK,0.6260706446339359
ENKAI,0.32467657125587746
KCHOL,-0.2490716936932036
YKBNK,-0.9746625656812946
KOZAL,-1.2499915741974288
SAHOL,-1.412571387374495
SASA,-1.5653812914960374
ASELS,-2.8355386705730123
PGSUS,-2.938218209468768
EKGYO,-3.0567691651407047
ISCTR,-3.135314505189768
KOZAA,-3.2415609564726444
TAVHL,-3.305288582775734
GUBRF,-3.554186512354962
PETKM,-3.6054404071294233
ODAS,-3.7464009616444915
TUPRS,-3.856205161100912
FROTO,-4.030396998691588
EREGL,-4.425775342545402
SISE,-4.642687541858925
BIMAS,-5.797104558260879
ALARK,-6.760572259575548
KRDMD,-8.395325011425324
ARCLK,-10.305028594819031
