Asset,Simple Return,Compound Return,Volatility,Positive Ratio,Total Volume,Skew,Kurtosis
ISCTR,40.532510804582586,47.24252203700521,60.95465242080736,72.72727272727273,7753473790.0,0.6558567447385053,-0.4620218143488444
TUPRS,38.517434962785174,43.78159226927119,68.27562556128223,59.09090909090909,1207192749.0,0.1744486081682798,-0.3215558266208389
ALARK,32.4059391778169,35.116257427918306,71.6679289569826,63.63636363636363,329245984.0,0.16630099811535193,-0.9061181134446548
GARAN,20.13989486338025,20.205808099844468,63.97982129792666,50.0,1681049498.0,0.8462716972228851,0.9511414497841786
BIMAS,18.54470155040061,18.370170219100636,62.844647018184425,45.45454545454545,181896459.0,0.5087063007746522,0.5553144538369708
YKBNK,16.987486180249142,17.13261918280018,52.428393557187576,63.63636363636363,9591164513.0,0.9553900911753282,1.470213888482899
PETKM,14.023093335464019,13.261240547388464,61.01756591778431,68.18181818181817,4497170419.0,0.26051754783889597,0.6895893647863236
TCELL,12.641995888453591,12.164747856918478,52.64857230370466,54.54545454545454,1175105290.0,0.7945948812742762,1.7004265631614208
EREGL,12.626412837745583,12.220491094179376,51.13212052846377,50.0,3840188999.0,0.8591531104746897,0.9317125847801959
TAVHL,11.66465337596695,11.278867450922302,48.10041175079625,50.0,176396400.0,0.4517961902574951,-0.61854062732364
GUBRF,10.02619909008029,9.507152272332032,47.91241956462068,45.45454545454545,98589871.0,1.669464550925094,4.5285676168580835
ODAS,9.574831551037967,8.974360750872634,48.193791433124034,54.54545454545454,3679434034.0,0.023212983407269083,-0.982443055214659
ARCLK,9.330071994666579,8.858268071302987,44.80075113865542,54.54545454545454,174553884.0,0.5109172750060109,-0.7509873828269371
KCHOL,8.258760779613596,8.047692471947808,34.94428416418833,50.0,637553764.0,0.3289239212914312,-0.6281043997610443
KRDMD,7.657372309798849,6.149962114142538,63.705992122330144,54.54545454545454,3092146251.0,0.14898553002497428,-0.923998842797686
AKBNK,7.0238618275021985,5.742301567451924,59.71617227128541,45.45454545454545,4087140066.0,1.5365389065680175,2.4699254278709857
SAHOL,6.945917260902157,6.580085258979285,36.88268224758453,45.45454545454545,1009699173.0,0.15490723425284872,-0.7658964875559153
THYAO,6.722018119751084,5.4893591048869705,57.76655994555447,36.36363636363637,970691357.0,0.5359478104762248,-0.3075533682341378
SISE,5.95251952921001,4.925917034075034,52.56803983588782,45.45454545454545,1995462717.0,0.4525771984328837,-0.8420203650853724
ASELS,4.448050408582105,3.5231040852775397,48.58111439963314,45.45454545454545,2551664741.0,-0.03683762823544985,-0.5596235142858483
PGSUS,3.348032296341854,2.104770783801424,55.53510511415072,40.909090909090914,54870339.0,0.7824383692873751,1.1857430777959301
EKGYO,1.5767687336992084,0.5882375380572347,48.48692998408769,59.09090909090909,8857899618.0,-0.5651619348605561,0.19067249920394636
KOZAA,-1.603905998363885,-2.8524858085174576,55.6386414561406,40.909090909090914,530633525.0,0.13357475107356998,-1.1370751608463356
ENKAI,-3.480537574339259,-4.067997271113255,39.910321176532804,50.0,1391170973.0,-0.3528406820922276,-1.0569299093496745
TOASO,-3.517327275151472,-4.588494473217786,53.612854078321014,45.45454545454545,113894614.0,1.1150561420317733,2.5883439411481604
KOZAL,-3.5860136677463785,-4.441259913072204,47.76979634786564,45.45454545454545,2698912208.0,0.06449947835789444,0.11847109790667032
FROTO,-10.591908953788765,-10.397074190177635,29.234505634831482,45.45454545454545,39286383.0,-0.25912408209235893,-0.7637971410854036
SASA,-15.114565618594881,-14.991766349983948,50.43066991434307,31.818181818181817,1374289811.0,0.027889086884563524,0.5024330167191264
HEKTS,-19.369761588943714,-18.175850037339735,37.848743102549555,31.818181818181817,1220706756.0,0.41981453116795836,-0.25118188979730327
