Asset,Simple Return,Compound Return,Volatility,Positive Ratio,Total Volume,Skew,Kurtosis
ISCTR,37.1908545107586,42.46511257360217,63.739963295616825,70.0,7200803971.0,0.6276323226279682,-0.6771641425453772
TUPRS,33.96738447686833,37.524172968848916,69.21853754856379,57.14285714285714,1163207428.0,0.2634045741816411,-0.3020440344188433
ALARK,15.430909468010253,14.823490906411596,64.66708856039307,60.0,292707967.0,0.15397792149864012,-0.8470296931969079
GARAN,7.951047271816238,6.956332322344139,60.588660775242076,44.44444444444444,1331047000.0,0.7898426520446216,1.3387478814034184
PGSUS,7.731646880539655,7.108951596207724,54.123441237283814,43.75,39336065.0,1.168546743978175,2.2984906831054097
KCHOL,7.662633305731192,7.407407407407418,35.7982544685138,47.61904761904761,600487411.0,0.33817875741335734,-0.7415000110995731
ODAS,7.523551422570698,6.783923350780352,49.033659953924996,52.38095238095239,3468600829.0,0.09796637631700071,-1.0225678958506608
YKBNK,5.9528310367332065,5.355386763745673,45.43929357664421,63.1578947368421,7734283883.0,0.5714646607348071,0.9526390932111348
BIMAS,5.8866773632588085,4.819779881187025,59.40113134550607,44.44444444444444,146107438.0,0.5997878062066491,1.9384017080703018
EREGL,4.202071299539789,3.5011967812006217,43.951287848242366,47.61904761904761,3525837573.0,0.6180132070178238,0.9967907634111968
TCELL,3.6385395742343007,2.990326840049673,42.696345953029734,55.00000000000001,1078924011.0,-0.32137914690794694,-1.0223486806094897
THYAO,2.9812460629104702,2.258538239949681,50.57891343109232,31.25,696389183.0,1.0300170744410495,0.3802318865206544
ASELS,2.847045900766099,2.139240815043064,53.19252640885853,50.0,1683959053.0,0.01141573974685254,-0.8182688717266968
AKBNK,2.7151466021464685,1.835105297812789,53.88095547143977,47.05882352941176,2926164992.0,1.453574541937857,3.4900671041444666
GUBRF,0.588544419465808,0.19921510095304296,44.51694384051317,45.45454545454545,42359664.0,0.6596819203428945,2.4647420928686996
SAHOL,-0.11909393070784668,-0.5441015625981094,37.953555257721746,37.5,684171537.0,0.4272012453465515,-0.4139967849791937
TAVHL,-0.33462614867655427,-1.0260399380199958,45.684012006798696,44.44444444444444,147111691.0,0.6853903157302371,-0.120306558090435
ARCLK,-2.4993459949310575,-2.9327804134571145,43.08481365170772,42.857142857142854,116171375.0,0.7818533403416197,-0.3307982432537999
PETKM,-4.517071281075534,-5.265024436515253,49.43992086300307,63.1578947368421,3880435593.0,-0.4933475502510606,-0.200436528709945
FROTO,-4.584521520635832,-4.624365908196559,29.359381618619363,44.44444444444444,14956625.0,-0.1520509859794921,-1.1358407432003088
SISE,-5.481471677854389,-5.745412338542632,46.13463843813486,36.36363636363637,1046644868.0,0.7279125571545813,-1.0972662792790429
TOASO,-6.405418233203873,-6.523182850010311,40.0831438503372,36.36363636363637,56820555.0,0.26262837736243133,-0.9814297762821189
HEKTS,-6.669191129762575,-6.53399157656549,17.52049080586397,0.0,172349138.0,-1.7310391433975245,
ENKAI,-7.346226163834124,-7.458574164874032,39.922250315959786,38.46153846153847,853171955.0,-0.0580224509241479,-1.215820485041346
SASA,-8.800356808684185,-8.773294086970607,66.9239395702344,25.0,325229711.0,-1.1225929474603542,2.217417677653023
KOZAA,-12.835408467616347,-12.4639443996865,48.819178192343166,22.22222222222222,205409570.0,0.902531970903346,1.036788862691708
EKGYO,-13.835367466041237,-13.50697943610938,46.18238488856244,46.666666666666664,6110405319.0,-0.6784501445664961,-0.31136182629048426
KRDMD,-15.045540361305441,-14.828396591369962,52.42973177520791,44.44444444444444,2295991736.0,0.1355048431264557,-0.699004256815654
KOZAL,-17.341290213506987,-16.346680246890088,46.93548824701238,25.0,988664896.0,0.6439901487444023,0.876680361159087
