Asset,Simple Return,Compound Return,Volatility,Positive Ratio
KCHOL,24.88779884125316,27.157351608766245,62.91009203707893,100.0
DOHOL,21.03675761539146,22.569024472729748,59.1394182004018,83.33333333333334
ARCLK,20.89113683445011,22.533744818864854,47.75732896228353,83.33333333333334
SASA,20.725598570868918,22.037039862738727,70.85883666485078,50.0
ISCTR,20.245280400864928,21.88341361019026,36.45237636935839,100.0
YKBNK,20.16349401251484,21.56862598435323,57.37784081649716,83.33333333333334
FROTO,19.323312890856467,20.86531281209041,27.018041500127225,100.0
KRDMD,19.13006176820953,20.546390327714548,39.56599277081197,100.0
THYAO,18.245759212083478,19.332407831557454,57.21432138981006,83.33333333333334
PGSUS,17.07703039954327,18.003495819264636,55.5132651195336,83.33333333333334
AKBNK,16.99410198755239,18.03797084424501,43.26429939735138,83.33333333333334
TAVHL,16.557925566191646,17.25692371224614,66.94190781971173,66.66666666666666
TKFEN,15.659388994662738,16.241611666112597,66.36116980152387,83.33333333333334
HEKTS,15.610650803442985,16.152189165164632,68.85537388285562,83.33333333333334
TUPRS,15.073375240844577,15.895524665490889,37.92983513604198,100.0
ASELS,14.164728928008707,14.94736520867599,27.13065309389071,100.0
BIMAS,13.699338148873696,14.39716715265038,31.73460711200509,100.0
ENKAI,13.354809516337562,13.998448748820657,33.623483310507105,100.0
AEFES,13.223055405438679,13.83161362806482,36.24828263309642,83.33333333333334
SOKM,13.063810244609673,13.676473035289138,33.2953778685186,83.33333333333334
GARAN,12.684469708329981,13.218815972413434,37.923276066110624,83.33333333333334
SAHOL,12.049851177883298,12.487046335133245,41.348287928557546,66.66666666666666
AKSA,11.671673454600208,12.059521944636531,42.54138641828141,66.66666666666666
SISE,11.22772698899781,11.496529532901834,50.4210947139557,66.66666666666666
VESTL,10.728078670227783,11.041859085824601,40.758807355035,66.66666666666666
EKGYO,10.392734493129495,10.54852300866671,53.803061797076104,66.66666666666666
TTKOM,10.237236370812397,10.542723358189953,36.51807127581346,66.66666666666666
EREGL,10.113314884505897,10.47215190253401,26.97952558346885,66.66666666666666
ALARK,9.653248822192673,9.992527745893565,23.331367093891306,83.33333333333334
TSKB,9.531910118769172,9.756100113940814,39.323269147058525,83.33333333333334
VAKBN,8.702349789566687,8.95522539807516,25.567811715355678,83.33333333333334
TOASO,8.392776470855912,8.4382312836903,48.90464408221671,83.33333333333334
MGROS,7.734902150815747,7.942027216372249,21.054995274793576,83.33333333333334
PETKM,7.422800914617645,7.576843723793547,27.50520192379745,83.33333333333334
TCELL,7.409217588486881,7.462686567164201,41.493198402410414,66.66666666666666
EGEEN,7.295838001860288,7.3606413791816205,39.37679991667256,50.0
KOZAL,6.823091073376075,6.950479839863921,25.87688404014324,83.33333333333334
HALKB,6.046487984996484,6.156272519923656,20.809043388196713,83.33333333333334
DOAS,5.90644855264062,5.948219583617886,32.032414562907874,50.0
KOZAA,5.368556928306156,5.410205152903358,27.961001191020223,83.33333333333334
CIMSA,4.982031435429158,4.995376135154772,29.838740542831587,66.66666666666666
KONTR,4.823148808421329,4.755246233970101,40.170595113392196,83.33333333333334
ENJSA,3.5984092391181393,3.5483821745841526,32.096800775124436,50.0
GUBRF,3.0635779913966816,2.9729776861124435,35.65984531540532,66.66666666666666
AKSEN,2.7956649887973417,2.7614530006672577,25.811636325169516,50.0
ODAS,2.6819989793113512,2.5679770276852087,37.731317275362755,66.66666666666666
OYAKC,2.09446539754804,1.9835502946240036,35.728139851864505,66.66666666666666
SMRTG,-0.3725349867221288,-0.5878591336421435,46.877408764865166,33.33333333333333
GESAN,-1.5301848630634551,-1.669449039275872,39.00374651318548,50.0
